Found new layout. Num iterations: 12332646, Best results size: 20
Found new layout. Num iterations: 12332668, Best results size: 21
Found new layout. Num iterations: 12332691, Best results size: 22
Found new layout. Num iterations: 12332706, Best results size: 23
Found new layout. Num iterations: 12332896, Best results size: 23
Found new layout. Num iterations: 12332929, Best results size: 24
Found new layout. Num iterations: 12333223, Best results size: 22
Found new layout. Num iterations: 12333243, Best results size: 23
Found new layout. Num iterations: 12333264, Best results size: 23
Found new layout. Num iterations: 12333285, Best results size: 24
Found new layout. Num iterations: 12333710, Best results size: 25
Found new layout. Num iterations: 12333732, Best results size: 25
Found new layout. Num iterations: 12333768, Best results size: 23
Found new layout. Num iterations: 12333897, Best results size: 24
Found new layout. Num iterations: 12333904, Best results size: 23
Found new layout. Num iterations: 12333930, Best results size: 24
Found new layout. Num iterations: 12334295, Best results size: 25
Found new layout. Num iterations: 12334424, Best results size: 26
Found new layout. Num iterations: 12334431, Best results size: 26
Found new layout. Num iterations: 12334760, Best results size: 26
Found new layout. Num iterations: 12334895, Best results size: 26
Found new layout. Num iterations: 12334902, Best results size: 25
Found new layout. Num iterations: 12334918, Best results size: 26
Found new layout. Num iterations: 12336520, Best results size: 27
Found new layout. Num iterations: 12336527, Best results size: 28
Found new layout. Num iterations: 12336534, Best results size: 27
Found new layout. Num iterations: 12336541, Best results size: 28
Found new layout. Num iterations: 12336553, Best results size: 28
Found new layout. Num iterations: 12336568, Best results size: 28
Found new layout. Num iterations: 12336575, Best results size: 28
Found new layout. Num iterations: 12336583, Best results size: 27
Found new layout. Num iterations: 12336671, Best results size: 27
Found new layout. Num iterations: 12336678, Best results size: 28
Found new layout. Num iterations: 12336685, Best results size: 29
Found new layout. Num iterations: 12336693, Best results size: 28
Found new layout. Num iterations: 12336700, Best results size: 27
Found new layout. Num iterations: 12336708, Best results size: 25
Found new layout. Num iterations: 12336717, Best results size: 25
Found new layout. Num iterations: 12336732, Best results size: 26
Found new layout. Num iterations: 12336741, Best results size: 24
Found new layout. Num iterations: 12337347, Best results size: 23
Found new layout. Num iterations: 12337354, Best results size: 24
Found new layout. Num iterations: 12337361, Best results size: 24
Found new layout. Num iterations: 12337380, Best results size: 25
Found new layout. Num iterations: 12337387, Best results size: 25
Found new layout. Num iterations: 12337395, Best results size: 26
Found new layout. Num iterations: 12337424, Best results size: 26
Found new layout. Num iterations: 12337431, Best results size: 23
Found new layout. Num iterations: 12337439, Best results size: 24
Found new layout. Num iterations: 12337465, Best results size: 24
Found new layout. Num iterations: 12337876, Best results size: 25
Found new layout. Num iterations: 12337883, Best results size: 25
Found new layout. Num iterations: 12337944, Best results size: 25
Found new layout. Num iterations: 12337952, Best results size: 26
Found new layout. Num iterations: 12338371, Best results size: 23
Found new layout. Num iterations: 12338378, Best results size: 24
Found new layout. Num iterations: 12338385, Best results size: 23
Found new layout. Num iterations: 12338393, Best results size: 23
Found new layout. Num iterations: 12338400, Best results size: 24
Found new layout. Num iterations: 12338408, Best results size: 25
Found new layout. Num iterations: 12338831, Best results size: 26
Found new layout. Num iterations: 12338838, Best results size: 26
Found new layout. Num iterations: 12338845, Best results size: 25
Found new layout. Num iterations: 12338853, Best results size: 26
Found new layout. Num iterations: 12338860, Best results size: 27
Found new layout. Num iterations: 12338868, Best results size: 26
Found new layout. Num iterations: 12338971, Best results size: 27
Found new layout. Num iterations: 12338978, Best results size: 26
Found new layout. Num iterations: 12339310, Best results size: 27
Found new layout. Num iterations: 12340024, Best results size: 28
Found new layout. Num iterations: 12340031, Best results size: 29
Found new layout. Num iterations: 12340038, Best results size: 30
Found new layout. Num iterations: 12340053, Best results size: 31
Found new layout. Num iterations: 12340060, Best results size: 31
Found new layout. Num iterations: 12340161, Best results size: 32
Found new layout. Num iterations: 12340168, Best results size: 31
Found new layout. Num iterations: 12340175, Best results size: 32
Found new layout. Num iterations: 12340219, Best results size: 33
Found new layout. Num iterations: 12341610, Best results size: 33
Found new layout. Num iterations: 12341617, Best results size: 32
Found new layout. Num iterations: 12341698, Best results size: 32
Found new layout. Num iterations: 12342089, Best results size: 30
Found new layout. Num iterations: 12342096, Best results size: 30
Found new layout. Num iterations: 12342126, Best results size: 31
Found new layout. Num iterations: 12342180, Best results size: 31
Found new layout. Num iterations: 12344379, Best results size: 32
Found new layout. Num iterations: 12344438, Best results size: 30
Found new layout. Num iterations: 12344449, Best results size: 29
Found new layout. Num iterations: 12344477, Best results size: 30
Found new layout. Num iterations: 12346238, Best results size: 31
Found new layout. Num iterations: 12346280, Best results size: 32
Found new layout. Num iterations: 12346293, Best results size: 31
Found new layout. Num iterations: 12351993, Best results size: 31
Found new layout. Num iterations: 12352025, Best results size: 31
Found new layout. Num iterations: 12352509, Best results size: 32
Found new layout. Num iterations: 12352962, Best results size: 32
Found new layout. Num iterations: 12353000, Best results size: 33
Found new layout. Num iterations: 12353007, Best results size: 33
Found new layout. Num iterations: 12353491, Best results size: 32
Found new layout. Num iterations: 12357503, Best results size: 33
Found new layout. Num iterations: 12362561, Best results size: 34
Found new layout. Num iterations: 12370521, Best results size: 35
Found new layout. Num iterations: 12371185, Best results size: 35
Found new layout. Num iterations: 12374822, Best results size: 35
Found new layout. Num iterations: 12374945, Best results size: 36
Found new layout. Num iterations: 12378452, Best results size: 37
Found new layout. Num iterations: 12378825, Best results size: 33
Found new layout. Num iterations: 12379190, Best results size: 34
Found new layout. Num iterations: 12401624, Best results size: 34
Found new layout. Num iterations: 12401631, Best results size: 32
Found new layout. Num iterations: 12401651, Best results size: 31
Found new layout. Num iterations: 12401671, Best results size: 31
Found new layout. Num iterations: 12401678, Best results size: 32
Found new layout. Num iterations: 12401861, Best results size: 33
Found new layout. Num iterations: 12401881, Best results size: 34
Found new layout. Num iterations: 12401888, Best results size: 35
Found new layout. Num iterations: 12401904, Best results size: 35
Found new layout. Num iterations: 12401911, Best results size: 34
Found new layout. Num iterations: 12401927, Best results size: 35
Found new layout. Num iterations: 12402371, Best results size: 35
Found new layout. Num iterations: 12402378, Best results size: 34
Found new layout. Num iterations: 12402385, Best results size: 33
Found new layout. Num iterations: 12402401, Best results size: 34
Found new layout. Num iterations: 12402408, Best results size: 35
Found new layout. Num iterations: 12402426, Best results size: 33
Found new layout. Num iterations: 12402486, Best results size: 32
Found new layout. Num iterations: 12402523, Best results size: 29
Found new layout. Num iterations: 12402542, Best results size: 30
Found new layout. Num iterations: 12402563, Best results size: 30
Found new layout. Num iterations: 12402570, Best results size: 31
Found new layout. Num iterations: 12403223, Best results size: 32
Found new layout. Num iterations: 12403922, Best results size: 32
Found new layout. Num iterations: 12403941, Best results size: 32
Found new layout. Num iterations: 12403948, Best results size: 32
Found new layout. Num iterations: 12406562, Best results size: 33
Found new layout. Num iterations: 12406569, Best results size: 34
